feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Prevotella__sp.__oral__taxon__475	Control_type	Sequencing	6.6338939804464	0.878547423206798	269	28	6.9930933041012e-13	1.56085842547539e-09
Rhodococcus__fascians	Control_type	Sequencing	7.56322806459478	1.18856334976907	269	31	8.63472339748857e-10	9.63635131159724e-07
Diaphorobacter__sp.__MNS.0	Control_type	Sequencing	5.31293404515537	0.891059131930686	269	32	7.90523425410955e-09	5.88149428505751e-06
Crassaminicella__thermophila	Control_type	Sequencing	6.90921686000444	1.18773572883366	269	50	1.72038924564309e-08	9.59977199068842e-06
Paracoccus__everestensis	Control_type	Sequencing	5.18805679948963	0.925547509939814	269	27	5.20867090172723e-08	1.95900341988794e-05
Methylobacterium__sp.__FF17	Control_type	Sequencing	11.0226677551692	1.96718630440564	269	47	5.26613822550523e-08	1.95900341988794e-05
Staphylococcus__pettenkoferi	Control_type	Sequencing	7.05449483280028	1.268957348412	269	44	6.60325870562413e-08	1.96612133938999e-05
Microvirga__terrae	Control_type	Sequencing	5.90216941076404	1.0641069690098	269	30	7.0470298902867e-08	1.96612133938999e-05
Fusobacterium__vincentii	Control_type	Sequencing	7.05554198238267	1.3027672046444	269	51	1.36879091750991e-07	3.39460147542459e-05
Sphingobium__sp.__YG1	Control_type	Sequencing	6.08480114691974	1.13484615542631	269	39	1.79455659391741e-07	4.00545031762365e-05
Sphingomonas__sp.__Y38.1Y	Control_type	Paraffin	5.07785365525771	0.956785403363657	269	145	2.35447861075754e-07	4.77745114473711e-05
Brevundimonas__sp.__C43	Control_type	Paraffin	3.27832247183615	0.627436616100238	269	45	3.53117469527393e-07	6.56798493320951e-05
Segatella__oris	Control_type	Sequencing	6.28962617659673	1.24546704509167	269	43	8.22933217083155e-07	0.000141291303117662
Sphaerotilus__microaerophilus	Control_type	Sequencing	5.34028722382713	1.08006707213943	269	37	1.35705836950865e-06	0.00021635387719595
Lawsonella__clevelandensis	Control_type	Sequencing	6.00959859833478	1.22008069411864	269	41	1.48238167961493e-06	0.000220578393926701
Diaphorobacter__aerolatus	Control_type	Paraffin	-2.19119540266437	0.44643458345066	269	30	1.60781696992259e-06	0.000224290467304202
Porphyromonas__gingivalis	Control_type	Sequencing	7.42373809197704	1.51702711323025	269	43	1.72119563691436e-06	0.000225982862446638
Mesorhizobium__terrae	Control_type	Buffer	6.31544669851451	1.31994961631242	269	103	2.84834636605165e-06	0.000353194949390405
Sphingobium__herbicidovorans	Control_type	Sequencing	7.13367913187567	1.50198900574443	269	55	3.34410936811695e-06	0.00038463224838886
